date,num_c,num_c_with,sum_mood,sum_mood_with
2014-05-03,0,0,0.0,0.0
2014-05-04,0,0,0.0,0.0
2014-05-05,0,0,0.0,0.0
2014-05-06,0,0,0.0,0.0
2014-05-07,5,0,-0.5050272874505026,0.0
2014-05-08,0,0,0.0,0.0
2014-05-09,0,0,0.0,0.0
2014-05-10,0,0,0.0,0.0
2014-05-11,0,0,0.0,0.0
2014-05-12,0,0,0.0,0.0
2014-05-13,0,0,0.0,0.0
2014-05-14,0,0,0.0,0.0
2014-05-15,4,0,-0.22906997840618715,0.0
2014-05-16,7,1,-1.1758621651679277,-0.44621581584215164
2014-05-17,7,0,-0.5612868953030556,0.0
2014-05-18,3,0,0.6069379337131977,0.0
2014-05-19,15,1,-1.581919388147071,-0.06367187947034836
2014-05-20,25,0,-1.4101929902099073,0.0
2014-05-21,7,0,-1.8057276555337012,0.0
2014-05-22,0,0,0.0,0.0
2014-05-23,0,0,0.0,0.0
2014-05-24,0,0,0.0,0.0
2014-05-25,0,0,0.0,0.0
2014-05-26,4,0,-0.32168454171915073,0.0
2014-05-27,4,0,-0.10896019644860644,0.0
2014-05-28,0,0,0.0,0.0
2014-05-29,7,0,-0.6143009886145592,0.0
2014-05-30,1,0,0.02125595510005951,0.0
2014-05-31,0,0,0.0,0.0
2014-06-01,0,0,0.0,0.0
2014-06-02,0,0,0.0,0.0
2014-06-03,18,1,-1.9279493906069547,-0.18391668610274792
2014-06-04,1,0,-0.19193278120656032,0.0
2014-06-05,5,0,0.4306115385843441,0.0
2014-06-06,3,0,-0.3059789561666548,0.0
2014-06-07,4,0,-0.6156925871036947,0.0
2014-06-08,0,0,0.0,0.0
2014-06-09,0,0,0.0,0.0
2014-06-10,6,0,-0.7537752888165414,0.0
2014-06-11,10,0,-1.4771570883895038,0.0
2014-06-12,1,0,-0.16661163046956062,0.0
2014-06-13,0,0,0.0,0.0
2014-06-14,0,0,0.0,0.0
2014-06-15,14,4,-2.042492130305618,-1.1637382190674543
2014-06-16,1,0,-0.33908155746757984,0.0
2014-06-17,4,0,-0.755365839926526,0.0
2014-06-18,0,0,0.0,0.0
2014-06-19,1,0,0.09029104537330568,0.0
2014-06-20,0,0,0.0,0.0
2014-06-21,1,0,-0.7549150125851156,0.0
2014-06-22,1,0,-0.1795270349830389,0.0
2014-06-23,0,0,0.0,0.0
2014-06-24,0,0,0.0,0.0
2014-06-25,19,0,-2.9684954195836326,0.0
2014-06-26,6,0,-0.2664372334256768,0.0
2014-06-27,0,0,0.0,0.0
2014-06-28,4,0,-0.8980629369616508,0.0
2014-06-29,1,0,-0.0635824054479599,0.0
2014-06-30,0,0,0.0,0.0
2014-07-01,2,0,-0.678872087970376,0.0
2014-07-02,7,0,-1.4384816763922572,0.0
2014-07-03,0,0,0.0,0.0
2014-07-04,0,0,0.0,0.0
2014-07-05,1,0,-0.11315979599021375,0.0
2014-07-06,0,0,0.0,0.0
2014-07-07,9,0,-0.575860480312258,0.0
2014-07-08,6,0,-0.4634845703840256,0.0
2014-07-09,0,0,0.0,0.0
2014-07-10,4,0,-0.308687750948593,0.0
2014-07-11,13,0,-0.733740652911365,0.0
2014-07-12,0,0,0.0,0.0
2014-07-13,0,0,0.0,0.0
2014-07-14,0,0,0.0,0.0
2014-07-15,3,0,-0.4305081282509491,0.0
2014-07-16,0,0,0.0,0.0
2014-07-17,54,1,-5.243426180211827,0.004899609833955765
2014-07-18,1,0,-0.09745339304208755,0.0
2014-07-19,0,0,0.0,0.0
2014-07-20,0,0,0.0,0.0
2014-07-21,0,0,0.0,0.0
2014-07-22,12,0,-2.282065637409687,0.0
2014-07-23,9,0,-2.512254885790753,0.0
2014-07-24,3,2,-0.4495606911368668,-0.28384973853826523
2014-07-25,4,1,-0.7825814695097506,-0.30925409495830536
2014-07-26,1,0,-0.38126507215201855,0.0
2014-07-27,0,0,0.0,0.0
2014-07-28,2,0,-0.22979472018778324,0.0
2014-07-29,8,0,-0.6586882292176597,0.0
2014-07-30,17,0,-2.662962843256537,0.0
2014-07-31,1,1,0.015304848551750183,0.015304848551750183
2014-08-01,0,0,0.0,0.0
2014-08-02,0,0,0.0,0.0
2014-08-03,0,0,0.0,0.0
2014-08-04,7,0,-0.4615857705939561,0.0
2014-08-05,4,0,-0.24649751011747867,0.0
2014-08-06,3,0,-0.19673355792474467,0.0
2014-08-07,7,0,-1.5694973601493984,0.0
2014-08-08,36,0,-8.047799559077248,0.0
2014-08-09,16,0,-2.495174197712913,0.0
2014-08-10,0,0,0.0,0.0
2014-08-11,0,0,0.0,0.0
