post_id,text,comment_time,from_id,clean_text,keyword_i,mood
1417903,"За эту войну будем платить не только мы, но и наши дети. Причем в прямом смысле слова. С наших налогов будут платить отступные.",1648809807,710444501,за эту войну будем платить не только мы но и наши дети причем в прямом смысле слова с наших налогов будут платить отступные,0,-0.5164493322372437
1417903,"А что нам санкции? Просто цены растут, просто заграницу не поедем, просто на самолетах не полетаем. Просто нам теперь придется очень непросто. Я думаю, что спецоперация была бессмысленной и стоила очень дорого для всех нас. Ее надо остановить.",1648819903,712039501,а что нам санкции просто цены растут просто заграницу не поедем просто на самолетах не полетаем просто нам теперь придется очень непросто я думаю что спецоперация была бессмысленной и стоила очень дорого для всех нас ее надо остановить,0,-0.3276716619729996
1417903,Реальные доходы населения уже упали на 12%! То ли еще будет((( Заканчивайте войну и наконец займитесь работой с российскими регионами!,1648820573,712036641,реальные доходы населения уже упали на 12 то ли еще будет заканчивайте войну и наконец займитесь работой с российскими регионами,0,-0.24568011611700058
1090226,где дежурный кремлебот Олежка Борисов?,1584309181,565759841,где дежурный кремлебот олежка борисов,0,-0.2647426500916481
1090226,Это не Россия где всё с точностью до наоборот.,1584309434,68850307,это не россия где всё с точностью до наоборот,0,-0.36353253247216344
1090226,"нда, с рублем неудобно получилось опять. путиномика🤣",1584309570,543407274,нда с рублем неудобно получилось опять путиномика🤣,0,-0.3293961435556412
1090226,"Вот петухи, я утром обвала ждал, а они опять шприц с адреналином в рынок вкалывают",1584310122,324174941,вот петухи я утром обвала ждал а они опять шприц с адреналином в рынок вкалывают,0,-0.25651130080223083
1090226,Рубль на 70,1584310384,488811613,рубль на 70,0,0.0
1090226,Разделите 3600/ нефть в $= курс деревянного для наполнения бюджета,1584319836,573528047,разделите 3600 нефть в  курс деревянного для наполнения бюджета,0,-0.04327050398569554
1811127,Ростовщики,1677760916,264003993,ростовщики,0,0.014609602512791753
1811127,С таким ценами на кв не поспоришь.,1677761884,704906480,с таким ценами на кв не поспоришь,0,0.020116038620471954
1811127,Достали уже с этими кредитами,1677762235,187248991,достали уже с этими кредитами,0,-0.31434229016304016
1811127,"У Сбера ипотека под 11%, прибыль ахеренная за 30 лет..",1677763539,269778992,у сбера ипотека под 11 прибыль ахеренная за 30 лет,0,0.018989836797118187
1065670,"НЕФТЬ,ГАЗ,УГОЛЬ - ""ЭТО БАЛАНС ПЛАНЕТЫ"", В СВЯЗИ С ИХ ИСПОЛЬЗОВАНИЕМ МЕНЯЕТСЯ ОРБИТА ЗЕМЛИ (С МЫСЛЬЮ О БУДУЩЕМ ) !!!",1581652053,507123909,нефтьгазуголь  это баланс планеты в связи с их использованием меняется орбита земли с мыслью о будущем  ,0,-0.2446228968910873
1065670,трогать Семью нельзя!,1581652070,455921866,трогать семью нельзя,0,-0.3281376585364342
1065670,А триллионы на счетах цб так и останутся лежать и приносить кому-то рентный доход.,1581660573,69033421,а триллионы на счетах цб так и останутся лежать и приносить комуто рентный доход,0,-0.1485245954245329
1065670,Перераспределение доходов? От населения к государству???,1581662094,4634035,перераспределение доходов от населения к государству,0,-0.5302694195415825
1065670,Бред человека из броне капсулы.,1581663956,232165783,бред человека из броне капсулы,0,-0.43465080577880144
1065670,"Пустую голову легче склонить, вот Путин и склоняет, а кого за хвост держит -знает кто сколько кто в карман положил! 
🧧Страна создана ТОЛЬКО для 3% населения (https://www.kommersant.ru/doc/3940397), т.е. для СВОИХ??? И иметь нищих 18, 4 млн человек!!! 🧧В 2018 году, по предварительным данным, численность населения с доходами ниже прожиточного минимума составила 18,4 млн. человек или 12,6% общей численности населения (2017 г. – 19,0 млн. человек или 12,9%; 2016 г. – 19,4 млн. человек или 13,2%). https://rosmintrud.ru/docs/1361.🧧Детей ПОЗОР Правительству, которое не может найти деньги на лечение детей. лечат за счет СМС - ответ Путина! 28 окт. 2019 г. https://www.youtube.com/watch?v=lxswFxIgeq8 .🧧 Позор! за 2018 год только 7 детей отправили лечиться за границу за бюджет!!!! (https://rosmintrud.ru/docs/1361) 🧧ТОЛЬКО 25% детей условно здоровые!!! https://rosmintrud.ru/docs/1361",1581672208,455921866,пустую голову легче склонить вот путин и склоняет а кого за хвост держит знает кто сколько кто в карман положил  🧧страна создана только для 3 населения httpswwwkommersantrudoc3940397 те для своих и иметь нищих 18 4 млн человек 🧧в 2018 году по предварительным данным численность населения с доходами ниже прожиточного минимума составила 184 млн человек или 126 общей численности населения 2017 г – 190 млн человек или 129 2016 г – 194 млн человек или 132 httpsrosmintrudrudocs1361🧧детей позор правительству которое не может найти деньги на лечение детей лечат за счет смс  ответ путина 28 окт 2019 г httpswwwyoutubecomwatchvlxswfxigeq8 🧧 позор за 2018 год только 7 детей отправили лечиться за границу за бюджет httpsrosmintrudrudocs1361 🧧только 25 детей условно здоровые httpsrosmintrudrudocs1361,0,-0.15194203332066536
1065670,"Простому человеку в принципе все равно, от Сбербанка деньги будут или откуда еще. Главное - будут.",1581672795,569828724,простому человеку в принципе все равно от сбербанка деньги будут или откуда еще главное  будут,0,-0.15541637688875198
1426125,"Ну, теперь-то уголовные рыла, из которых по преимуществу и состоит российская прокуратура, разгуляются!..",1649317915,236058996,ну теперьто уголовные рыла из которых по преимуществу и состоит российская прокуратура разгуляются,0,-0.18688921630382538
1811160,"""Неприемлемые практики"" как интересно она назвала процесс, когда предприниматели и  промышленники хотят взять кредит на развитие по низкой ставке",1677763362,31351383,неприемлемые практики как интересно она назвала процесс когда предприниматели и  промышленники хотят взять кредит на развитие по низкой ставке,0,-0.12386775016784668
1270489,"а принять, как должное",1616585556,455921866,а принять как должное,0,-0.01292588235810399
1270489,Лучшее изображение на купюрах - Путин в петле на фонарном столбе.,1616585919,216986008,лучшее изображение на купюрах  путин в петле на фонарном столбе,0,0.15954742021858692
1270489,давно это пищалки стали призывать?,1616586315,2224380,давно это пищалки стали призывать,0,-0.4610167877544882
1270489,Знаменитые хабаровские дураки.😄,1616587882,545273248,знаменитые хабаровские дураки😄,0,0.200203999876976
1270489,"Честно скажу,мне такой вариант в голову не приходил,но теперь я считаю это единственной причиной.",1616587953,217378276,честно скажумне такой вариант в голову не приходилно теперь я считаю это единственной причиной,0,0.2881304994225502
